# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
还好,還好,hái hǎo,"fortunately
lucky",本：还好我们出来得早。,本：還好我們出來得早。,běn hái hǎo wǒ men chū lái de zǎo,Ben: Good thing we left early.
出来,出來,chū lái,"to come out
to appear",本：还好我们出来得早。,本：還好我們出來得早。,běn hái hǎo wǒ men chū lái de zǎo,Ben: Good thing we left early.
登机,登機,dēng jī,to board a plane,丽丽：我们要早一点去办登机。,麗麗：我們要早一點去辦登機。,lì lì wǒ men yào zǎo yì diǎn qù bàn dēng jī,Lili: We should go a bit early to check in.
那么,那麼,nà me,"like that
so
then",丽丽：那么早？我送你去吧！,麗麗：那麼早？我送你去吧！,lì lì nà me zǎo wǒ sòng nǐ qù ba,Lili: That early? I'll give you a lift!
玩儿,玩兒,wán'r,"to play
to have fun",本：明天我要坐飞机去广州玩儿。,本：明天我要坐飛機去廣州玩兒。,běn míng tiān wǒ yào zuò fēi jī qù guǎng zhōu wán'r,Ben: Tomorrow I'm taking a plane to Guangzhou for fun.
广州,廣州,guǎng zhōu,Guangzhou subprovincial city and capital of Guangdong,本：明天我要坐飞机去广州玩儿。,本：明天我要坐飛機去廣州玩兒。,běn míng tiān wǒ yào zuò fēi jī qù guǎng zhōu wán'r,Ben: Tomorrow I'm taking a plane to Guangzhou for fun.
起飞,起飛,qǐ fēi,(of an aircraft) to take off,飞机几点起飞？,飛機幾點起飛？,fēi jī jǐ diǎn qǐ fēi,What time is your flight?
飞机,飛機,fēi jī,airplane,飞机几点起飞？,飛機幾點起飛？,fēi jī jǐ diǎn qǐ fēi,What time is your flight?
越来越,越來越,yuè lái yuè,more and more,随着学中文的人越来越多，中文越来越火，,隨著學中文的人越來越多，中文越來越火，,suí zhe xué zhōng wén de rén yuè lái yuè duō zhōng wén yuè lái yuè huǒ,"As the number of people who study Chinese increases, and Chinese becomes more and more popular, .."
火,火,huǒ,"fire
urgent
hot (popular)",随着学中文的人越来越多，中文越来越火，,隨著學中文的人越來越多，中文越來越火，,suí zhe xué zhōng wén de rén yuè lái yuè duō zhōng wén yuè lái yuè huǒ,"As the number of people who study Chinese increases, and Chinese becomes more and more popular, .."
北海,北海,běi hǎi,Beihai prefecture level city and seaport in Guangxi,女乘客：这个火车是去北海的！,女乘客：這個火車是去北海的！,nǚ chéng kè zhè ge huǒ chē shì qù běi hǎi de,Female passenger: This train goes to Beihai!
上海,上海,shàng hǎi,Shanghai,本：是的。我要去上海。,本：是的。我要去上海。,běn shì de wǒ yào qù shàng hǎi,"Ben: Yes, I'm going to Shanghai."
奇怪,奇怪,qí guài,"strange
odd",女乘客：时间一样！座位也一样！真奇怪！啊，你的票是去上海的！,女乘客：時間一樣！座位也一樣！真奇怪！啊，你的票是去上海的！,nǚ chéng kè shí jiān yí yàng zuò wèi yě yí yàng zhēn qí guài a nǐ de piào shì qù shàng hǎi de,"Female passenger: Same time! Same seat! How odd! Ah, your ticket is for Shanghai."
乘客,乘客,chéng kè,passenger,女乘客：你好！这是我的座位。,女乘客：你好！這是我的座位。,nǚ chéng kè nǐ hǎo zhè shì wǒ de zuò wèi,Female passenger: Hi! This is my seat.
座位,座位,zuò wèi,seat,女乘客：你好！这是我的座位。,女乘客：你好！這是我的座位。,nǚ chéng kè nǐ hǎo zhè shì wǒ de zuò wèi,Female passenger: Hi! This is my seat.
摩梭族,摩梭族,mó suō zú,Mosuo ethnic group of Yunnan and Sichuan,在中国云南省，有一个叫摩梭族的民族。,在中國雲南省，有一個叫摩梭族的民族。,zài zhōng guó yún nán shěng yǒu yí ge jiào mó suō zú de mín zú,"In the Yunnan province in China, there is an ethnic group called Mosuo."
云南,雲南,yún nán,Yunnan province in southwest China,在中国云南省，有一个叫摩梭族的民族。,在中國雲南省，有一個叫摩梭族的民族。,zài zhōng guó yún nán shěng yǒu yí ge jiào mó suō zú de mín zú,"In the Yunnan province in China, there is an ethnic group called Mosuo."
右边,右邊,yòu bian,"right side
to the right",看“非”的右边是一个“一”字和“三”字；,看“非”的右邊是一個“一”字和“三”字；,kàn fēi de yòu bian shì yí ge yī zì hé sān zì,"If you look at the right side of “fei”, it has the characters for “1” and “3”;"
左边,左邊,zuǒ bian,"the left side
to the left of",看“非”的左边，是一个“三”字和“一”字；,看“非”的左邊，是一個“三”字和“一”字；,kàn fēi de zuǒ bian shì yí ge sān zì hé yī zì,"If you look at the left side of “fei”, it has the characters for “3” and “1”;"
数字,數字,shù zì,"digit
number",要想猜出这个字，就要知道数字的中文写法。,要想猜出這個字，就要知道數字的中文寫法。,yào xiǎng cāi chū zhè ge zì jiù yào zhī dào shù zì de zhōng wén xiě fǎ,"If you want to guess the character, you must know how to write numbers in Chinese."
写法,寫法,xiě fǎ,"way of writing a character
spelling",要想猜出这个字，就要知道数字的中文写法。,要想猜出這個字，就要知道數字的中文寫法。,yào xiǎng cāi chū zhè ge zì jiù yào zhī dào shù zì de zhōng wén xiě fǎ,"If you want to guess the character, you must know how to write numbers in Chinese."
出,出,chū,"to go out
to come out
to occur",这是一个字谜，你能猜出这是一个什么字吗？,這是一個字謎，你能猜出這是一個什麼字嗎？,zhè shì yí ge zì mí nǐ néng cāi chū zhè shì yí ge shén me zì ma,This is a character riddle. Can you guess what character it is?
字谜,字謎,zì mí,letter puzzle,这是一个字谜，你能猜出这是一个什么字吗？,這是一個字謎，你能猜出這是一個什麼字嗎？,zhè shì yí ge zì mí nǐ néng cāi chū zhè shì yí ge shén me zì ma,This is a character riddle. Can you guess what character it is?
合,合,hé,"to join
to fit",左看31，右看13，合起来看323。,左看31，右看13，合起來看323。,zuǒ kàn 31 yòu kàn 13 hé qǐ lái kàn 323,"31 on the left, 13 on the right, 323 joint together."
林红,林紅,lín hóng,Lin Hong (name),天气很好，林红和保罗打算去逛街。,天氣很好，林紅和保羅打算去逛街。,tiān qì hěn hǎo lín hóng hé bǎo luó dǎ suàn qù guàng jiē,The weather was very nice. Lin Hong and Paul planned to go shopping.
肚子,肚子,dù zi,"stomach
abdomen
belly",小明肚子饿了，他去饭店点菜，准备带回家吃。,小明肚子餓了，他去飯店點菜，準備帶回家吃。,xiǎo míng dù zi è le tā qù fàn diàn diǎn cài zhǔn bèi dài huí jiā chī,"Little Ming was hungry. He went to the restaurant to order, and was just about to return home to eat."
伞,傘,sǎn,"umbrella
parasol",晴天也要用伞,晴天也要用傘,qíng tiān yě yào yòng sǎn,Using an umbrella on a sunny day
晴天,晴天,qíng tiān,"clear sky
sunny day",晴天也要用伞,晴天也要用傘,qíng tiān yě yào yòng sǎn,Using an umbrella on a sunny day
意思,意思,yì si,meaning,你看到的是饭店挂的牌子，意思是那些店里卖早饭。,你看到的是飯店掛的牌子，意思是那些店裡賣早飯。,nǐ kàn dào de shì fàn diàn guà de pái zi yì si shì nà xiē diàn lǐ mài zǎo fàn,The signs you saw were from restaurants. It means that they sell breakfast in those restaurants.
哈哈,哈哈,hā hā,(onom.) laughing out loud,小明：哈哈，这个“早点”是早饭的意思。,小明：哈哈，這個“早點”是早飯的意思。,xiǎo míng hā hā zhè ge zǎo diǎn shì zǎo fàn de yì si,"Little Ming: Haha, this “Zao Dian” means breakfast."
迟到,遲到,chí dào,to arrive late,告诉上班的人早点去工作，不要迟到。,告訴上班的人早點去工作，不要遲到。,gào su shàng bān de rén zǎo diǎn qù gōng zuò bú yào chí dào,The signs were reminding people to go to work early and don’t be late.
告诉,告訴,gào su,"to tell
to inform",告诉上班的人早点去工作，不要迟到。,告訴上班的人早點去工作，不要遲到。,gào su shàng bān de rén zǎo diǎn qù gōng zuò bú yào chí dào,The signs were reminding people to go to work early and don’t be late.
